Product ID,Product Subcategory ID,Product SKU,Product Name,Model Name,Product Description,Product Color,Product Style,Product Cost,Product Price
111,NULL,LJ-5811,Thin-Jam Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL
112,NULL,LJ-5818,Thin-Jam Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL
113,NULL,LJ-7161,Thin-Jam Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL
114,NULL,LJ-7162,Thin-Jam Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL
115,NULL,LJ-9080,Thin-Jam Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL
116,NULL,LJ-9161,Thin-Jam Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL
117,NULL,LN-1024,Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL
118,NULL,LN-1032,Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL
119,NULL,LN-1213,Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL
120,NULL,LN-1220,Lock Nut 17,NULL,NULL,NA,NULL,NULL,NULL
121,NULL,LN-1224,Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL
122,NULL,LN-1420,Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL
123,NULL,LN-1428,Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL
124,NULL,LN-3410,Lock Nut 22,NULL,NULL,NA,NULL,NULL,NULL
125,NULL,LN-3416,Lock Nut 23,NULL,NULL,NA,NULL,NULL,NULL
126,NULL,LN-3816,Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL
127,NULL,LN-3824,Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL
128,NULL,LN-4400,Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL
129,NULL,LN-5161,Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL
130,NULL,LN-5162,Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL
131,NULL,LN-5400,Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL
132,NULL,LN-5811,Lock Nut 20,NULL,NULL,NA,NULL,NULL,NULL
133,NULL,LN-5818,Lock Nut 21,NULL,NULL,NA,NULL,NULL,NULL
134,NULL,LN-6320,Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL
135,NULL,LN-7161,Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL
136,NULL,LN-7162,Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL
137,NULL,LN-8320,Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL
138,NULL,LN-9080,Lock Nut 19,NULL,NULL,NA,NULL,NULL,NULL
139,NULL,LN-9161,Lock Nut 18,NULL,NULL,NA,NULL,NULL,NULL
140,NULL,LR-2398,Lock Ring,NULL,NULL,Silver,NULL,NULL,NULL
141,NULL,LR-8520,Lower Head Race,NULL,NULL,NA,NULL,NULL,NULL
142,NULL,LW-1000,Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL
143,NULL,LW-1200,Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL
144,NULL,LW-1201,Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL
145,NULL,LW-1400,Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL
146,NULL,LW-3400,Lock Washer 13,NULL,NULL,NA,NULL,NULL,NULL
147,NULL,LW-3800,Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL
148,NULL,LW-4000,Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL
149,NULL,LW-5160,Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL
150,NULL,LW-5800,Lock Washer 12,NULL,NULL,NA,NULL,NULL,NULL
151,NULL,LW-6000,Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL
152,NULL,LW-7160,Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL
153,NULL,LW-8000,Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL
154,NULL,LW-9160,Lock Washer 11,NULL,NULL,NA,NULL,NULL,NULL
155,NULL,MA-7075,Metal Angle,NULL,NULL,NA,NULL,NULL,NULL
156,NULL,MB-2024,Metal Bar 1,NULL,NULL,NA,NULL,NULL,NULL
157,NULL,MB-6061,Metal Bar 2,NULL,NULL,NA,NULL,NULL,NULL
158,NULL,MP-2066,Metal Plate 2,NULL,NULL,NA,NULL,NULL,NULL
159,NULL,MP-2503,Metal Plate 1,NULL,NULL,NA,NULL,NULL,NULL
160,NULL,MP-4960,Metal Plate 3,NULL,NULL,NA,NULL,NULL,NULL
161,NULL,MS-0253,Metal Sheet 2,NULL,NULL,NA,NULL,NULL,NULL
162,NULL,MS-1256,Metal Sheet 3,NULL,NULL,NA,NULL,NULL,NULL
163,NULL,MS-1981,Metal Sheet 7,NULL,NULL,NA,NULL,NULL,NULL
164,NULL,MS-2259,Metal Sheet 4,NULL,NULL,NA,NULL,NULL,NULL
165,NULL,MS-2341,Metal Sheet 5,NULL,NULL,NA,NULL,NULL,NULL
166,NULL,MS-2348,Metal Sheet 6,NULL,NULL,NA,NULL,NULL,NULL
167,NULL,MS-6061,Metal Sheet 1,NULL,NULL,NA,NULL,NULL,NULL
168,NULL,MT-1000,Metal Tread Plate,NULL,NULL,NA,NULL,NULL,NULL
169,NULL,NI-4127,LL Nipple,NULL,NULL,NA,NULL,NULL,NULL
170,NULL,NI-9522,HL Nipple,NULL,NULL,NA,NULL,NULL,NULL
171,NULL,PA-187B,Paint - Black,NULL,NULL,NA,NULL,NULL,NULL
172,NULL,PA-361R,Paint - Red,NULL,NULL,NA,NULL,NULL,NULL
173,NULL,PA-529S,Paint - Silver,NULL,NULL,NA,NULL,NULL,NULL
174,NULL,PA-632U,Paint - Blue,NULL,NULL,NA,NULL,NULL,NULL
175,NULL,PA-823Y,Paint - Yellow,NULL,NULL,NA,NULL,NULL,NULL
176,NULL,PB-6109,Pinch Bolt,NULL,NULL,NA,NULL,NULL,NULL
177,NULL,RA-2345,Cup-Shaped Race,NULL,NULL,NA,NULL,NULL,NULL
178,NULL,RA-7490,Cone-Shaped Race,NULL,NULL,NA,NULL,NULL,NULL
179,NULL,RF-9198,Reflector,NULL,NULL,NA,NULL,NULL,NULL
180,NULL,RM-M464,LL Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL
181,NULL,RM-M692,ML Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL
182,NULL,RM-M823,HL Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL
183,NULL,RM-R436,LL Road Rim,NULL,NULL,NA,NULL,NULL,NULL
184,NULL,RM-R600,ML Road Rim,NULL,NULL,NA,NULL,NULL,NULL
185,NULL,RM-R800,HL Road Rim,NULL,NULL,NA,NULL,NULL,NULL
186,NULL,RM-T801,Touring Rim,NULL,NULL,NA,NULL,NULL,NULL
187,NULL,SA-M198,LL Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
188,NULL,SA-M237,ML Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
189,NULL,SA-M687,HL Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
190,NULL,SA-R127,LL Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
191,NULL,SA-R430,ML Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
192,NULL,SA-R522,HL Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
193,NULL,SA-T467,LL Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
194,NULL,SA-T612,ML Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
195,NULL,SA-T872,HL Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL
196,NULL,SD-2342,LL Spindle/Axle,NULL,NULL,NA,NULL,NULL,NULL
197,NULL,SD-9872,HL Spindle/Axle,NULL,NULL,NA,NULL,NULL,NULL
198,NULL,SH-4562,LL Shell,NULL,NULL,NA,NULL,NULL,NULL
199,NULL,SH-9312,HL Shell,NULL,NULL,NA,NULL,NULL,NULL
200,NULL,SK-9283,Spokes,NULL,NULL,NA,NULL,NULL,NULL
201,NULL,SL-0931,Seat Lug,NULL,NULL,NA,NULL,NULL,NULL
202,NULL,SM-9087,Stem,NULL,NULL,NA,NULL,NULL,NULL
203,NULL,SP-2981,Seat Post,NULL,NULL,NA,NULL,NULL,NULL
204,NULL,SR-2098,Steerer,NULL,NULL,NA,NULL,NULL,NULL
205,NULL,SS-2985,Seat Stays,NULL,NULL,NA,NULL,NULL,NULL
206,NULL,ST-9828,Seat Tube,NULL,NULL,NA,NULL,NULL,NULL
207,NULL,TO-2301,Top Tube,NULL,NULL,NA,NULL,NULL,NULL
208,NULL,TP-0923,Tension Pulley,NULL,NULL,NA,NULL,NULL,NULL
209,NULL,RC-0291,Rear Derailleur Cage,NULL,NULL,Silver,NULL,NULL,NULL
210,14,FR-R92B-58,"HL Road Frame - Black, 58",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U ,NULL,NULL
211,14,FR-R92R-58,"HL Road Frame - Red, 58",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,NULL,NULL
212,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Red,NULL,12.0278,33.6442
213,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Red,NULL,13.8782,33.6442
214,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Red,NULL,13.0863,34.99
215,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Black,NULL,12.0278,33.6442
216,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Black,NULL,13.8782,33.6442
217,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Black,NULL,13.0863,34.99
218,23,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,U ,3.3963,9.5
219,23,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,U ,3.3963,9.5
220,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,NULL,12.0278,33.6442
221,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,NULL,13.8782,33.6442
222,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Blue,NULL,13.0863,34.99
223,19,CA-1098,AWC Logo Cap,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Multi,U ,5.7052,8.6442
224,19,CA-1098,AWC Logo Cap,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Multi,U ,5.2297,8.6442
225,19,CA-1098,AWC Logo Cap,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Multi,U ,6.9223,8.99
226,21,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,31.7244,48.0673
227,21,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,29.0807,48.0673
228,21,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,38.4923,49.99
229,21,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,31.7244,48.0673
230,21,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,29.0807,48.0673
231,21,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,38.4923,49.99
232,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,31.7244,48.0673
233,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,29.0807,48.0673
234,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,38.4923,49.99
235,21,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,31.7244,48.0673
236,21,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,29.0807,48.0673
237,21,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Multi,U ,38.4923,49.99
238,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,747.9682,1263.4598
239,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,722.2568,1301.3636
240,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,868.6342,1431.5
241,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,747.9682,1263.4598
242,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,722.2568,1301.3636
243,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,868.6342,1431.5
244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,747.9682,1263.4598
245,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,722.2568,1301.3636
246,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,868.6342,1431.5
247,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,747.9682,1263.4598
248,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,722.2568,1301.3636
249,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,868.6342,1431.5
250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,747.9682,1263.4598
251,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,722.2568,1301.3636
252,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,U ,868.6342,1431.5
253,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U ,176.1997,297.6346
254,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U ,170.1428,306.5636
255,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U ,204.6251,337.22
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U ,176.1997,297.6346
